INSERT INTO `cities` (`id`, `name`, `state_id`, `created_at`, `updated_at`) VALUES
(32937, 'Gemunde', 2908, NULL, NULL),
(32938, 'Godim', 2908, NULL, NULL),
(32939, 'Gondomar', 2908, NULL, NULL),
(32940, 'Grijo', 2908, NULL, NULL),
(32941, 'Gueifaes', 2908, NULL, NULL),
(32942, 'Guifoes', 2908, NULL, NULL),
(32943, 'Guimaraes', 2908, NULL, NULL),
(32944, 'Gulpilhares', 2908, NULL, NULL),
(32945, 'Joane', 2908, NULL, NULL),
(32946, 'Jovim', 2908, NULL, NULL),
(32947, 'Lamego', 2908, NULL, NULL),
(32948, 'Lavra', 2908, NULL, NULL),
(32949, 'Leca da Palmeira', 2908, NULL, NULL),
(32950, 'Leca do Bailio', 2908, NULL, NULL),
(32951, 'Lobao', 2908, NULL, NULL),
(32952, 'Lordelo', 2908, NULL, NULL),
(32953, 'Lourosa', 2908, NULL, NULL),
(32954, 'Lustosa', 2908, NULL, NULL),
(32955, 'Macedo de Cavaleiros', 2908, NULL, NULL),
(32956, 'Macieira de Cambra', 2908, NULL, NULL),
(32957, 'Madalena', 2908, NULL, NULL),
(32958, 'Maia', 2908, NULL, NULL),
(32959, 'Margaride', 2908, NULL, NULL),
(32960, 'Marinhas', 2908, NULL, NULL),
(32961, 'Matosinhos', 2908, NULL, NULL),
(32962, 'Meadela', 2908, NULL, NULL),
(32963, 'Meinedo', 2908, NULL, NULL),
(32964, 'Milheiros', 2908, NULL, NULL),
(32965, 'Milheiros de Poiares', 2908, NULL, NULL),
(32966, 'Mirandela', 2908, NULL, NULL),
(32967, 'Mogadouro', 2908, NULL, NULL),
(32968, 'Moreira', 2908, NULL, NULL),
(32969, 'Moreira de Conegos', 2908, NULL, NULL),
(32970, 'Mozelos', 2908, NULL, NULL),
(32971, 'Negrelos', 2908, NULL, NULL),
(32972, 'Nogueira', 2908, NULL, NULL),
(32973, 'Nogueira da Regedoura', 2908, NULL, NULL),
(32974, 'Olival', 2908, NULL, NULL),
(32975, 'Oliveira', 2908, NULL, NULL),
(32976, 'Oliveira de Azemeis', 2908, NULL, NULL),
(32977, 'Oliveira do Douro', 2908, NULL, NULL),
(32978, 'Pacos de Brandao', 2908, NULL, NULL),
(32979, 'Pacos de Ferreira', 2908, NULL, NULL),
(32980, 'Pedroso', 2908, NULL, NULL),
(32981, 'Pedroucos', 2908, NULL, NULL),
(32982, 'Penafiel', 2908, NULL, NULL),
(32983, 'Perafita', 2908, NULL, NULL),
(32984, 'Perozinho', 2908, NULL, NULL),
(32985, 'Peso da Regua', 2908, NULL, NULL),
(32986, 'Ponte', 2908, NULL, NULL),
(32987, 'Porto', 2908, NULL, NULL),
(32988, 'Povoa de Lanhoso', 2908, NULL, NULL),
(32989, 'Povoa de Varzim', 2908, NULL, NULL),
(32990, 'Real', 2908, NULL, NULL),
(32991, 'Rebordosa', 2908, NULL, NULL),
(32992, 'Recarei', 2908, NULL, NULL),
(32993, 'Refojos de Basto', 2908, NULL, NULL),
(32994, 'Ribeirao', 2908, NULL, NULL),
(32995, 'Rio Meao', 2908, NULL, NULL),
(32996, 'Rio Tinto', 2908, NULL, NULL),
(32997, 'Ronfe', 2908, NULL, NULL),
(32998, 'Sande', 2908, NULL, NULL),
(32999, 'Sandim', 2908, NULL, NULL),
(33000, 'Santa Cruz do Bispo', 2908, NULL, NULL),
(33001, 'Santa Maria de Lamas', 2908, NULL, NULL),
(33002, 'Santiago da Riba-Ul', 2908, NULL, NULL),
(33003, 'Santo Tirso', 2908, NULL, NULL),
(33004, 'Sao Felix da Marinha', 2908, NULL, NULL),
(33005, 'Sao Joao da Madeira', 2908, NULL, NULL),
(33006, 'Sao Joao de Ver', 2908, NULL, NULL),
(33007, 'Sao Mamede de Infesta', 2908, NULL, NULL),
(33008, 'Sao Pedro da Cova', 2908, NULL, NULL),
(33009, 'Sao Pedro de Casteloes', 2908, NULL, NULL),
(33010, 'Sao Roque', 2908, NULL, NULL),
(33011, 'Selho', 2908, NULL, NULL),
(33012, 'Senhora da Hora', 2908, NULL, NULL),
(33013, 'Seroa', 2908, NULL, NULL),
(33014, 'Serzedelo', 2908, NULL, NULL),
(33015, 'Serzedo', 2908, NULL, NULL),
(33016, 'Silvalde', 2908, NULL, NULL),
(33017, 'Sobrado', 2908, NULL, NULL),
(33018, 'Sobreira', 2908, NULL, NULL),
(33019, 'Souto', 2908, NULL, NULL),
(33020, 'Teloes', 2908, NULL, NULL),
(33021, 'Urgezes', 2908, NULL, NULL),
(33022, 'Valadares', 2908, NULL, NULL),
(33023, 'Valbom', 2908, NULL, NULL),
(33024, 'Vale', 2908, NULL, NULL),
(33025, 'Valongo', 2908, NULL, NULL),
(33026, 'Valpacos', 2908, NULL, NULL),
(33027, 'Viana do Castelo', 2908, NULL, NULL),
(33028, 'Vila Cha', 2908, NULL, NULL),
(33029, 'Vila Frescainha', 2908, NULL, NULL),
(33030, 'Vila Nova da Telha', 2908, NULL, NULL),
(33031, 'Vila Nova de Famalicao', 2908, NULL, NULL),
(33032, 'Vila Nova de Gaia', 2908, NULL, NULL),
(33033, 'Vila Praia de Ancora', 2908, NULL, NULL),
(33034, 'Vila Real', 2908, NULL, NULL),
(33035, 'Vila Verde', 2908, NULL, NULL),
(33036, 'Vila de Cucujaes', 2908, NULL, NULL),
(33037, 'Vila de Prado', 2908, NULL, NULL),
(33038, 'Vila do Conde', 2908, NULL, NULL),
(33039, 'Vilar de Andorinho', 2908, NULL, NULL),
(33040, 'Vilar do Paraiso', 2908, NULL, NULL),
(33041, 'Vilarinho', 2908, NULL, NULL),
(33042, 'Vilela', 2908, NULL, NULL),
(33043, 'Vizela', 2908, NULL, NULL),
(33044, 'Paivas', 2909, NULL, NULL),
(33045, 'Arecibo', 2910, NULL, NULL),
(33046, 'Barceloneta', 2910, NULL, NULL),
(33047, 'Camuy', 2910, NULL, NULL),
(33048, 'Dorado', 2910, NULL, NULL),
(33049, 'Isabela', 2910, NULL, NULL),
(33050, 'Manati', 2910, NULL, NULL),
(33051, 'Vega Alta', 2910, NULL, NULL),
(33052, 'Vega Baja', 2910, NULL, NULL),
(33053, 'Bayamon', 2911, NULL, NULL),
(33054, 'Catano', 2911, NULL, NULL),
(33055, 'Guaynabo', 2911, NULL, NULL),
(33056, 'Levittown', 2911, NULL, NULL),
(33057, 'Valencia', 2911, NULL, NULL),
(33058, 'Canovanas', 2912, NULL, NULL),
(33059, 'Carolina', 2912, NULL, NULL),
(33060, 'Trujillo Alto', 2912, NULL, NULL),
(33061, 'Florida', 2913, NULL, NULL),
(33062, 'Aibonito', 2914, NULL, NULL),
(33063, 'Arroyo', 2914, NULL, NULL),
(33064, 'Barranquitas', 2914, NULL, NULL),
(33065, 'Cayey', 2914, NULL, NULL),
(33066, 'Coamo', 2914, NULL, NULL),
(33067, 'Corozal', 2914, NULL, NULL),
(33068, 'Guayama', 2914, NULL, NULL),
(33069, 'Juana Diaz', 2914, NULL, NULL),
(33070, 'Aguas Buenas', 2915, NULL, NULL),
(33071, 'Caguas', 2915, NULL, NULL),
(33072, 'Culebra', 2915, NULL, NULL),
(33073, 'Fajardo', 2915, NULL, NULL),
(33074, 'Gurabo', 2915, NULL, NULL),
(33075, 'Humacao', 2915, NULL, NULL),
(33076, 'Juncos', 2915, NULL, NULL),
(33077, 'Rio Grande', 2915, NULL, NULL),
(33078, 'Vieques', 2915, NULL, NULL),
(33079, 'Aguada', 2916, NULL, NULL),
(33080, 'Aguadilla', 2916, NULL, NULL),
(33081, 'Anasco', 2916, NULL, NULL),
(33082, 'Cabo Rojo', 2916, NULL, NULL),
(33083, 'Hormigueros', 2916, NULL, NULL),
(33084, 'Mayaguez', 2916, NULL, NULL),
(33085, 'San German', 2916, NULL, NULL),
(33086, 'San Sebastian', 2916, NULL, NULL),
(33087, 'Adjuntas', 2917, NULL, NULL),
(33088, 'Guanica', 2917, NULL, NULL),
(33089, 'Ponce', 2917, NULL, NULL),
(33090, 'Utuado', 2917, NULL, NULL),
(33091, 'Yauco', 2917, NULL, NULL),
(33092, 'Salinas', 2918, NULL, NULL),
(33093, 'Doha', 2920, NULL, NULL),
(33094, 'Umm Bab', 2921, NULL, NULL),
(33095, 'ad-Dawhah', 2923, NULL, NULL),
(33096, 'al-Ghuwayriyah', 2924, NULL, NULL),
(33097, 'Dukhan', 2925, NULL, NULL),
(33098, 'al-Jumayliyah', 2925, NULL, NULL),
(33099, 'al-Khawr', 2926, NULL, NULL),
(33100, 'Musay\'id', 2927, NULL, NULL),
(33101, 'al-Wakrah', 2927, NULL, NULL),
(33102, 'al-Wukayr', 2927, NULL, NULL),
(33103, 'ar-Rayyan', 2928, NULL, NULL),
(33104, 'ash-Shahaniyah', 2928, NULL, NULL),
(33105, 'ar-Ruways', 2929, NULL, NULL),
(33106, 'Bras-Panon', 2930, NULL, NULL),
(33107, 'Saint-Andre', 2930, NULL, NULL),
(33108, 'Saint-Benoit', 2930, NULL, NULL),
(33109, 'Sainte-Rose', 2930, NULL, NULL),
(33110, 'Salazie', 2930, NULL, NULL),
(33111, 'La Possession', 2931, NULL, NULL),
(33112, 'Le Port', 2931, NULL, NULL),
(33113, 'Saint-Denis', 2931, NULL, NULL),
(33114, 'Sainte-Marie', 2931, NULL, NULL),
(33115, 'Sainte-Suzanne', 2931, NULL, NULL),
(33116, 'L\'Etang-Sale', 2932, NULL, NULL),
(33117, 'Les Aviron', 2932, NULL, NULL),
(33118, 'Les Trois-Bassins', 2932, NULL, NULL),
(33119, 'Saint-Leu', 2932, NULL, NULL),
(33120, 'Saint-Paul', 2932, NULL, NULL),
(33121, 'Cilaos', 2933, NULL, NULL),
(33122, 'Entre-Deux', 2933, NULL, NULL),
(33123, 'Le Tampon', 2933, NULL, NULL),
(33124, 'Petite-Ile', 2933, NULL, NULL),
(33125, 'Saint-Joseph', 2933, NULL, NULL),
(33126, 'Saint-Louis', 2933, NULL, NULL),
(33127, 'Saint-Philippe', 2933, NULL, NULL),
(33128, 'Saint-Pierre', 2933, NULL, NULL),
(33129, 'Abrud', 2934, NULL, NULL),
(33130, 'Aiud', 2934, NULL, NULL),
(33131, 'Alba Iulia', 2934, NULL, NULL),
(33132, 'Albac', 2934, NULL, NULL),
(33133, 'Almasu Mare', 2934, NULL, NULL),
(33134, 'Arieseni', 2934, NULL, NULL),
(33135, 'Avram Iancu', 2934, NULL, NULL),
